number,value,datetime_start,datetime_complete,duration,params_batch,params_epochs,params_lr,params_weight_decay,state
0,0.9683186745792413,2025-06-05 23:45:32.169190,2025-06-06 00:45:46.238387,0 days 01:00:14.069197,128,22,0.0068617612048225765,0.0007541020810822731,COMPLETE
1,0.6712154298244788,2025-06-06 00:45:46.243459,2025-06-06 01:38:41.250071,0 days 00:52:55.006612,32,11,2.3349745364700152e-06,2.7816456868306647e-05,COMPLETE
2,0.9811365706885592,2025-06-06 01:38:41.252071,2025-06-06 02:36:43.211118,0 days 00:58:01.959047,32,17,0.00013775617363868473,0.0006781967435859392,COMPLETE
3,0.9280457856379537,2025-06-06 02:36:43.216368,2025-06-06 03:37:45.732386,0 days 01:01:02.516018,16,19,6.705431539110852e-06,9.771602603541916e-06,COMPLETE
4,0.9600689238374431,2025-06-06 03:37:45.734387,2025-06-06 04:35:44.276689,0 days 00:57:58.542302,16,21,1.6529434193578102e-05,9.733070710457395e-06,COMPLETE
5,0.9786102787224362,2025-06-06 04:35:44.278158,2025-06-06 05:23:48.063642,0 days 00:48:03.785484,128,27,0.00021975873296450495,4.8602057785313474e-05,COMPLETE
6,0.9715544921735692,2025-06-06 05:23:48.068472,2025-06-06 06:32:45.721895,0 days 01:08:57.653423,16,15,0.0021145320688338207,0.0052570752285090875,COMPLETE
7,0.6161305522860144,2025-06-06 06:32:45.723888,2025-06-06 07:08:20.270562,0 days 00:35:34.546674,128,14,1.1224769145579384e-06,0.004064876259016052,COMPLETE
8,0.9525646181473144,2025-06-06 07:08:20.271653,2025-06-06 08:27:08.707804,0 days 01:18:48.436151,32,25,1.2488487166477902e-05,0.0009499545482814043,COMPLETE
9,0.678111708446171,2025-06-06 08:27:08.709887,2025-06-06 09:47:58.270618,0 days 01:20:49.560731,64,21,1.4555387645139843e-06,1.018429406919903e-05,COMPLETE
10,0.9741664841035178,2025-06-06 09:47:58.274618,2025-06-06 10:31:43.849183,0 days 00:43:45.574565,32,16,0.00014654984020721155,1.258651986250509e-06,COMPLETE
11,0.9760888027739761,2025-06-06 10:31:43.853191,2025-06-06 11:10:42.199381,0 days 00:38:58.346190,128,30,0.00017940337519699212,0.00019022190322015461,COMPLETE
12,0.9775394047463866,2025-06-06 11:10:42.203383,2025-06-06 11:59:41.366773,0 days 00:48:59.163390,64,27,0.0007036567700696928,0.00011352579078640277,COMPLETE
13,0.964956349219284,2025-06-06 11:59:41.369777,2025-06-06 12:41:07.322900,0 days 00:41:25.953123,128,26,5.8369616160406995e-05,0.0005183827764239584,COMPLETE
14,0.9799731483178227,2025-06-06 12:41:07.325522,2025-06-06 13:56:13.585877,0 days 01:15:06.260355,32,18,0.0004984216436199397,5.4005070567317095e-05,COMPLETE
